operation,direction_key,slope,signed_slope,line_bin_width,line_id,n_pixels_used,used_fallback,line_median,global_median,stripe_offset_subtracted
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,35,264,0,3.210882722416324e-05,0.0006766097436699554,-0.0006445009164457921
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,36,262,0,-0.004957437361911012,0.0006766097436699554,-0.005634047105580967
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,37,256,0,-0.009527571469438813,0.0006766097436699554,-0.010204181213108768
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,38,254,0,0.0053511654930835885,0.0006766097436699554,0.004674555749413633
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,39,248,0,-0.0022705136409579526,0.0006766097436699554,-0.002947123384627908
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,40,246,0,0.004347393985386316,0.0006766097436699554,0.0036707842417163603
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,41,240,0,-0.0004453280047129384,0.0006766097436699554,-0.0011219377483828938
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,42,238,0,0.006077122146707109,0.0006766097436699554,0.005400512403037154
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,43,232,0,0.0071977527551567435,0.0006766097436699554,0.006521143011486788
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,44,230,0,0.008925479870248026,0.0006766097436699554,0.008248870126578071
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,45,224,0,0.004417806088218281,0.0006766097436699554,0.0037411963445483252
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,46,222,0,0.0016267392135905568,0.0006766097436699554,0.0009501294699206014
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,47,216,0,0.007211535822455785,0.0006766097436699554,0.006534926078785829
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,48,214,0,0.008241896634214952,0.0006766097436699554,0.007565286890544996
